# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,39.751,0,39.97,0,0,0,0,0,4.178,32.9,-106,9.7954,84,0,0,0,36410,3171.7,30.468,0.14803,NaN,335.43,NaN,0.0055786,577863,1810,8.9812e-5,0.82766,0.0022424,0.63631,0.07134,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,15.24,182.41,84,0,NaN,14.675,1007.4,340.19,0.01,0.0026434
0.01,0.0019875,0.39751,138.63,0.3997,139.39,2.089e-4,0,2.089e-4,0,0.04178,14.57,32.9,-106,9.7954,72.432,0,0,0,36410,3171.7,30.468,0.14803,NaN,335.43,NaN,0.0058271,603609,5429.9,0.0021332,0.82188,0.048813,0.63054,0.07134,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9055e-5,15.24,182.41,84,0,NaN,14.675,1007.4,340.19,0.01,0.003241
0.02,0.012895,1.784,237.55,1.7938,238.86,0.0013553,0,0.0013553,0,0.18751,24.968,32.9,-106,9.7954,43.52,0,0,0,36403,3165,30.466,0.14801,NaN,335.42,NaN,0.0080781,836783,9049.9,0.045997,0.78098,0.54768,0.58963,0.071341,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2016e-4,15.24,182.41,84,0,NaN,14.675,1007.4,340.19,0.01,0.0037278
0.03,0.042614,4.1599,317.91,4.1828,319.66,0.0044789,0,0.0044789,0,0.43722,33.413,32.9,-106,9.7954,23.385,0,0,0,36396,3158.3,30.464,0.14799,NaN,335.42,NaN,0.014034,1453684,11989,0.22769,0.72035,0.89832,0.52898,0.071344,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1336e-4,15.24,182.41,84,0,NaN,14.675,1007.4,340.19,0.01,0.0042318
0.04,0.10011,7.3395,324.56,7.3799,326.35,0.010522,0,0.010522,0,0.77141,34.113,32.9,-106,9.7954,14.054,0,0,0,36388,3150,30.461,0.14797,NaN,335.41,NaN,0.022967,2379071,12230,0.58378,0.67386,0.85991,0.48243,0.071353,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0575e-4,15.24,182.41,84,0,NaN,14.674,1007.4,340.19,0.01,0.0048622
0.05,0.18974,10.586,323.64,10.644,325.42,0.019942,0,0.019942,0,1.1126,34.016,32.9,-106,9.7954,9.9375,0,0,0,36377,3139.1,30.457,0.14794,NaN,335.41,NaN,0.032361,3352144,12193,1.0326,0.64506,0.76613,0.45356,0.071367,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013064,15.24,182.41,84,0,NaN,14.674,1007.4,340.19,0.01,0.0052836
0.06,0.31178,13.823,322.73,13.899,324.51,0.03277,0,0.03277,0,1.4529,33.92,32.9,-106,9.7954,7.7429,0,0,0,36365,3127.1,30.453,0.1479,NaN,335.4,NaN,0.041831,4333013,12157,1.6073,0.63162,0.71374,0.44001,0.071386,0.12023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017059,15.24,182.41,84,0,NaN,14.673,1007.3,340.19,0.01,0.0056134
0.07,0.46615,17.051,321.81,17.145,323.58,0.048995,0,0.048995,0,1.7922,33.824,32.9,-106,9.7954,6.3631,0,0,0,36353,3115.2,30.449,0.14787,NaN,335.39,NaN,0.051313,5315075,12120,2.3385,0.63047,0.69013,0.43872,0.071409,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0021043,15.24,182.41,84,0,NaN,14.672,1007.3,340.19,0.01,0.0059327
0.08,0.65276,20.27,320.89,20.382,322.66,0.068608,0,0.068608,0,2.1305,33.727,32.9,-106,9.7954,5.4165,0,0,0,36341,3103.2,30.445,0.14784,NaN,335.38,NaN,0.060788,6296418,12083,3.2094,0.62961,0.67491,0.43769,0.071437,0.12048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0025015,15.24,182.41,84,0,NaN,14.671,1007.3,340.19,0.01,0.0064521
0.09,0.87151,23.48,319.96,23.609,321.73,0.091599,0,0.091599,0,2.4678,33.63,32.9,-106,9.7954,4.7271,0,0,0,36329,3091.3,30.441,0.1478,NaN,335.37,NaN,0.070248,7276151,12046,4.2205,0.62894,0.66459,0.43683,0.07147,0.12064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0028976,15.24,182.41,84,0,NaN,14.669,1007.3,340.19,0.01,0.0069541
